case,target_soc,actual_soc,variant,charge_scale,mode,species,n_molecules,frames,fit_start_ps,fit_end_ps,D_1e-9_m2_s,D_sem_1e-9_m2_s,n_blocks,note,source_file
soc030_q0p8_ecc,0.3,0.2916666666666667,q0p8_ecc,0.8,long,I-,44,4001,2510.0,8490.0,1.324389786015082,0.0606852373381775,4,long trajectory analysis,outputs/md_transport_soc_series/results/diffusion_soc030_q0p8_ecc_long.csv
soc030_q0p8_ecc,0.3,0.2916666666666667,q0p8_ecc,0.8,long,Br-,93,4001,2510.0,8490.0,1.1658146373881733,0.0533304243219109,4,long trajectory analysis,outputs/md_transport_soc_series/results/diffusion_soc030_q0p8_ecc_long.csv
soc030_q0p8_ecc,0.3,0.2916666666666667,q0p8_ecc,0.8,long,NH4+,95,4001,2510.0,8490.0,1.4560692338945944,0.0109786915715907,4,long trajectory analysis,outputs/md_transport_soc_series/results/diffusion_soc030_q0p8_ecc_long.csv
soc030_q0p8_ecc,0.3,0.2916666666666667,q0p8_ecc,0.8,long,I2,1,4001,2510.0,8490.0,0.15234536492355,0.1837004293058812,4,long trajectory analysis; finite-box carrier count is small,outputs/md_transport_soc_series/results/diffusion_soc030_q0p8_ecc_long.csv
soc030_q0p8_ecc,0.3,0.2916666666666667,q0p8_ecc,0.8,long,I3-,4,4001,2510.0,8490.0,0.7219646610745932,0.1802066789807142,4,long trajectory analysis,outputs/md_transport_soc_series/results/diffusion_soc030_q0p8_ecc_long.csv
soc030_q0p8_ecc,0.3,0.2916666666666667,q0p8_ecc,0.8,long,I2Br-,2,4001,2510.0,8490.0,0.8268728392788431,0.0950765747402355,4,long trajectory analysis; finite-box carrier count is small,outputs/md_transport_soc_series/results/diffusion_soc030_q0p8_ecc_long.csv
soc030_q0p8_ecc,0.3,0.2916666666666667,q0p8_ecc,0.8,long,H2O,1112,4001,2510.0,8490.0,1.996054099964665,0.0256874314173011,4,long trajectory analysis,outputs/md_transport_soc_series/results/diffusion_soc030_q0p8_ecc_long.csv
soc030_q0p8_ecc,0.3,0.2916666666666667,q0p8_ecc,0.8,smoke,Zn2+,24,251,0.6400000017867785,2.1000000026638377,0.731017959956204,0.0551043909586373,4,short smoke trajectory; not production-grade; fit window <1 ns,outputs/md_transport_soc_series/results/diffusion_soc030_q0p8_ecc_smoke.csv
soc030_q0p8_ecc,0.3,0.2916666666666667,q0p8_ecc,0.8,smoke,I-,44,251,0.6400000017867785,2.1000000026638377,0.9950809069613188,0.1398783847886197,4,short smoke trajectory; not production-grade; fit window <1 ns,outputs/md_transport_soc_series/results/diffusion_soc030_q0p8_ecc_smoke.csv
soc030_q0p8_ecc,0.3,0.2916666666666667,q0p8_ecc,0.8,smoke,Br-,93,251,0.6400000017867785,2.1000000026638377,1.6775142968963763,0.0993366723642379,4,short smoke trajectory; not production-grade; fit window <1 ns,outputs/md_transport_soc_series/results/diffusion_soc030_q0p8_ecc_smoke.csv
soc030_q0p8_ecc,0.3,0.2916666666666667,q0p8_ecc,0.8,smoke,NH4+,95,251,0.6400000017867785,2.1000000026638377,1.9963218223911503,0.1193938993113536,4,short smoke trajectory; not production-grade; fit window <1 ns,outputs/md_transport_soc_series/results/diffusion_soc030_q0p8_ecc_smoke.csv
soc030_q0p8_ecc,0.3,0.2916666666666667,q0p8_ecc,0.8,smoke,I2,1,251,0.6400000017867785,2.1000000026638377,2.0022393897701383,0.8679110390327711,4,short smoke trajectory; not production-grade; finite-box carrier count is small; fit window <1 ns,outputs/md_transport_soc_series/results/diffusion_soc030_q0p8_ecc_smoke.csv
soc030_q0p8_ecc,0.3,0.2916666666666667,q0p8_ecc,0.8,smoke,I3-,4,251,0.6400000017867785,2.1000000026638377,0.8836842283715872,0.1436218352466278,4,short smoke trajectory; not production-grade; fit window <1 ns,outputs/md_transport_soc_series/results/diffusion_soc030_q0p8_ecc_smoke.csv
soc030_q0p8_ecc,0.3,0.2916666666666667,q0p8_ecc,0.8,smoke,I2Br-,2,251,0.6400000017867785,2.1000000026638377,1.2544543809410271,0.4576125053651168,4,short smoke trajectory; not production-grade; finite-box carrier count is small; fit window <1 ns,outputs/md_transport_soc_series/results/diffusion_soc030_q0p8_ecc_smoke.csv
soc030_q0p8_ecc,0.3,0.2916666666666667,q0p8_ecc,0.8,smoke,H2O,1112,251,0.6400000017867785,2.1000000026638377,2.2136319898151453,0.0691688474580739,4,short smoke trajectory; not production-grade; fit window <1 ns,outputs/md_transport_soc_series/results/diffusion_soc030_q0p8_ecc_smoke.csv
soc030_q1p0,0.3,0.2916666666666667,q1p0,1.0,long,Zn2+,24,4001,2510.0,8490.0,0.3065388469288051,0.0247763313842479,4,long trajectory analysis,outputs/md_transport_soc_series/results/diffusion_soc030_q1p0_long.csv
soc030_q1p0,0.3,0.2916666666666667,q1p0,1.0,long,I-,44,4001,2510.0,8490.0,0.7440003904383398,0.0425070369118485,4,long trajectory analysis,outputs/md_transport_soc_series/results/diffusion_soc030_q1p0_long.csv
soc030_q1p0,0.3,0.2916666666666667,q1p0,1.0,long,Br-,93,4001,2510.0,8490.0,0.6713417224689062,0.0500998082846083,4,long trajectory analysis,outputs/md_transport_soc_series/results/diffusion_soc030_q1p0_long.csv
soc030_q1p0,0.3,0.2916666666666667,q1p0,1.0,long,NH4+,95,4001,2510.0,8490.0,0.828060920554941,0.0411466711284398,4,long trajectory analysis,outputs/md_transport_soc_series/results/diffusion_soc030_q1p0_long.csv
soc030_q1p0,0.3,0.2916666666666667,q1p0,1.0,long,I2,1,4001,2510.0,8490.0,0.2221341225545011,0.0711452885812271,4,long trajectory analysis; finite-box carrier count is small,outputs/md_transport_soc_series/results/diffusion_soc030_q1p0_long.csv
soc030_q1p0,0.3,0.2916666666666667,q1p0,1.0,long,I3-,4,4001,2510.0,8490.0,0.9037456937925498,0.1259797787515814,4,long trajectory analysis,outputs/md_transport_soc_series/results/diffusion_soc030_q1p0_long.csv
