case,target_soc,actual_soc,variant,charge_scale,mode,species,n_molecules,frames,fit_start_ps,fit_end_ps,D_1e-9_m2_s,D_sem_1e-9_m2_s,n_blocks,note,source_file,selected_for_report,production_grade
soc050_q1p0,0.5,0.5,q1p0,1.0,long,I3-,8,4001,2510.0,8490.0,0.4408902986534194,0.0767949597087301,4,long trajectory analysis,outputs/md_transport_soc_series/results/diffusion_soc050_q1p0_long.csv,True,True
soc050_q1p0,0.5,0.5,q1p0,1.0,long,I2Br-,3,4001,2510.0,8490.0,0.7992635299287814,0.0620505242631829,4,long trajectory analysis; finite-box carrier count is small,outputs/md_transport_soc_series/results/diffusion_soc050_q1p0_long.csv,True,True
soc050_q1p0,0.5,0.5,q1p0,1.0,long,H2O,1112,4001,2510.0,8490.0,1.3410273815204905,0.0085985138637644,4,long trajectory analysis,outputs/md_transport_soc_series/results/diffusion_soc050_q1p0_long.csv,True,True
soc070_q0p8_ecc,0.7,0.7083333333333334,q0p8_ecc,0.8,long,Zn2+,24,4001,2510.0,8490.0,0.55142843239266,0.0472394809958421,4,long trajectory analysis,outputs/md_transport_soc_series/results/diffusion_soc070_q0p8_ecc_long.csv,True,True
soc070_q0p8_ecc,0.7,0.7083333333333334,q0p8_ecc,0.8,long,I-,37,4001,2510.0,8490.0,1.0454780110920243,0.0621821644681242,4,long trajectory analysis,outputs/md_transport_soc_series/results/diffusion_soc070_q0p8_ecc_long.csv,True,True
soc070_q0p8_ecc,0.7,0.7083333333333334,q0p8_ecc,0.8,long,Br-,90,4001,2510.0,8490.0,1.07299053869049,0.0129428151548136,4,long trajectory analysis,outputs/md_transport_soc_series/results/diffusion_soc070_q0p8_ecc_long.csv,True,True
soc070_q0p8_ecc,0.7,0.7083333333333334,q0p8_ecc,0.8,long,NH4+,95,4001,2510.0,8490.0,1.7018830920561956,0.0884330604968972,4,long trajectory analysis,outputs/md_transport_soc_series/results/diffusion_soc070_q0p8_ecc_long.csv,True,True
soc070_q0p8_ecc,0.7,0.7083333333333334,q0p8_ecc,0.8,long,I2,1,4001,2510.0,8490.0,0.4807546197660253,0.3052686672871809,4,long trajectory analysis; finite-box carrier count is small,outputs/md_transport_soc_series/results/diffusion_soc070_q0p8_ecc_long.csv,True,True
soc070_q0p8_ecc,0.7,0.7083333333333334,q0p8_ecc,0.8,long,I3-,11,4001,2510.0,8490.0,0.8829823958168519,0.0475631801592458,4,long trajectory analysis,outputs/md_transport_soc_series/results/diffusion_soc070_q0p8_ecc_long.csv,True,True
soc070_q0p8_ecc,0.7,0.7083333333333334,q0p8_ecc,0.8,long,I2Br-,5,4001,2510.0,8490.0,0.7244941452947262,0.2241039149374984,4,long trajectory analysis,outputs/md_transport_soc_series/results/diffusion_soc070_q0p8_ecc_long.csv,True,True
soc070_q0p8_ecc,0.7,0.7083333333333334,q0p8_ecc,0.8,long,H2O,1112,4001,2510.0,8490.0,1.9738135921475477,0.030960215157218,4,long trajectory analysis,outputs/md_transport_soc_series/results/diffusion_soc070_q0p8_ecc_long.csv,True,True
soc070_q1p0,0.7,0.7083333333333334,q1p0,1.0,long,Zn2+,24,4001,2510.0,8490.0,0.2581695569287506,0.0174833024033639,4,long trajectory analysis,outputs/md_transport_soc_series/results/diffusion_soc070_q1p0_long.csv,True,True
soc070_q1p0,0.7,0.7083333333333334,q1p0,1.0,long,I-,37,4001,2510.0,8490.0,0.7225787733428823,0.0541832846209501,4,long trajectory analysis,outputs/md_transport_soc_series/results/diffusion_soc070_q1p0_long.csv,True,True
soc070_q1p0,0.7,0.7083333333333334,q1p0,1.0,long,Br-,90,4001,2510.0,8490.0,0.5649935073289427,0.0467931813710384,4,long trajectory analysis,outputs/md_transport_soc_series/results/diffusion_soc070_q1p0_long.csv,True,True
soc070_q1p0,0.7,0.7083333333333334,q1p0,1.0,long,NH4+,95,4001,2510.0,8490.0,0.8086756827537329,0.011667561322163,4,long trajectory analysis,outputs/md_transport_soc_series/results/diffusion_soc070_q1p0_long.csv,True,True
soc070_q1p0,0.7,0.7083333333333334,q1p0,1.0,long,I2,1,4001,2510.0,8490.0,0.8461211737732494,0.1177062539934847,4,long trajectory analysis; finite-box carrier count is small,outputs/md_transport_soc_series/results/diffusion_soc070_q1p0_long.csv,True,True
soc070_q1p0,0.7,0.7083333333333334,q1p0,1.0,long,I3-,11,4001,2510.0,8490.0,0.5333995541888131,0.0423324822492317,4,long trajectory analysis,outputs/md_transport_soc_series/results/diffusion_soc070_q1p0_long.csv,True,True
soc070_q1p0,0.7,0.7083333333333334,q1p0,1.0,long,I2Br-,5,4001,2510.0,8490.0,0.8889986410958133,0.0729064809089968,4,long trajectory analysis,outputs/md_transport_soc_series/results/diffusion_soc070_q1p0_long.csv,True,True
soc070_q1p0,0.7,0.7083333333333334,q1p0,1.0,long,H2O,1112,4001,2510.0,8490.0,1.3488631051902895,0.0189844738023582,4,long trajectory analysis,outputs/md_transport_soc_series/results/diffusion_soc070_q1p0_long.csv,True,True
soc100_q0p8_ecc,1.0,1.0,q0p8_ecc,0.8,long,Zn2+,24,4001,2510.0,8490.0,0.6206199507136558,0.0364044435867002,4,long trajectory analysis,outputs/md_transport_soc_series/results/diffusion_soc100_q0p8_ecc_long.csv,True,True
soc100_q0p8_ecc,1.0,1.0,q0p8_ecc,0.8,long,I-,32,4001,2510.0,8490.0,1.225924120456965,0.0904654156838366,4,long trajectory analysis,outputs/md_transport_soc_series/results/diffusion_soc100_q0p8_ecc_long.csv,True,True
soc100_q0p8_ecc,1.0,1.0,q0p8_ecc,0.8,long,Br-,88,4001,2510.0,8490.0,1.2889814444063663,0.0588883013999112,4,long trajectory analysis,outputs/md_transport_soc_series/results/diffusion_soc100_q0p8_ecc_long.csv,True,True
soc100_q0p8_ecc,1.0,1.0,q0p8_ecc,0.8,long,NH4+,95,4001,2510.0,8490.0,1.4906267162775482,0.0523636577176887,4,long trajectory analysis,outputs/md_transport_soc_series/results/diffusion_soc100_q0p8_ecc_long.csv,True,True
soc100_q0p8_ecc,1.0,1.0,q0p8_ecc,0.8,long,I2,1,4001,2510.0,8490.0,1.2172870798655042,0.3416082412075862,4,long trajectory analysis; finite-box carrier count is small,outputs/md_transport_soc_series/results/diffusion_soc100_q0p8_ecc_long.csv,True,True
soc100_q0p8_ecc,1.0,1.0,q0p8_ecc,0.8,long,I3-,16,4001,2510.0,8490.0,0.714621331297976,0.0505127816452359,4,long trajectory analysis,outputs/md_transport_soc_series/results/diffusion_soc100_q0p8_ecc_long.csv,True,True
soc100_q0p8_ecc,1.0,1.0,q0p8_ecc,0.8,long,I2Br-,7,4001,2510.0,8490.0,0.8095712111159197,0.1724194089097344,4,long trajectory analysis,outputs/md_transport_soc_series/results/diffusion_soc100_q0p8_ecc_long.csv,True,True
soc100_q0p8_ecc,1.0,1.0,q0p8_ecc,0.8,long,H2O,1112,4001,2510.0,8490.0,1.9416437114046523,0.0272202638307429,4,long trajectory analysis,outputs/md_transport_soc_series/results/diffusion_soc100_q0p8_ecc_long.csv,True,True
soc100_q1p0,1.0,1.0,q1p0,1.0,long,Zn2+,24,4001,2510.0,8490.0,0.2828681213800487,0.0117077533099372,4,long trajectory analysis,outputs/md_transport_soc_series/results/diffusion_soc100_q1p0_long.csv,True,True
soc100_q1p0,1.0,1.0,q1p0,1.0,long,I-,32,4001,2510.0,8490.0,0.7418982830712033,0.0506101594955445,4,long trajectory analysis,outputs/md_transport_soc_series/results/diffusion_soc100_q1p0_long.csv,True,True
soc100_q1p0,1.0,1.0,q1p0,1.0,long,Br-,88,4001,2510.0,8490.0,0.6607160282978646,0.0227877179233064,4,long trajectory analysis,outputs/md_transport_soc_series/results/diffusion_soc100_q1p0_long.csv,True,True
soc100_q1p0,1.0,1.0,q1p0,1.0,long,NH4+,95,4001,2510.0,8490.0,0.7309854011631317,0.023129503491499,4,long trajectory analysis,outputs/md_transport_soc_series/results/diffusion_soc100_q1p0_long.csv,True,True
soc100_q1p0,1.0,1.0,q1p0,1.0,long,I2,1,4001,2510.0,8490.0,0.2789509751409341,0.1073449118841891,4,long trajectory analysis; finite-box carrier count is small,outputs/md_transport_soc_series/results/diffusion_soc100_q1p0_long.csv,True,True
soc100_q1p0,1.0,1.0,q1p0,1.0,long,I3-,16,4001,2510.0,8490.0,0.4052185131336541,0.0336589373604064,4,long trajectory analysis,outputs/md_transport_soc_series/results/diffusion_soc100_q1p0_long.csv,True,True
soc100_q1p0,1.0,1.0,q1p0,1.0,long,I2Br-,7,4001,2510.0,8490.0,0.4901951285591732,0.0860492007700249,4,long trajectory analysis,outputs/md_transport_soc_series/results/diffusion_soc100_q1p0_long.csv,True,True
soc100_q1p0,1.0,1.0,q1p0,1.0,long,H2O,1112,4001,2510.0,8490.0,1.3043613048146374,0.0115551810336066,4,long trajectory analysis,outputs/md_transport_soc_series/results/diffusion_soc100_q1p0_long.csv,True,True
