R_theta_end,theta_end,effective_coefficient_V,effective_coefficient_mV_per_decade,fixed_selected_voltage_contribution_mV
0.29528,0.70472,0.058051086946,133.667567434,70.8125282268
0.296745,0.703255,0.0582875725372,134.212095631,70.8125282268
0.29821,0.70179,0.0585248138338,134.758363904,70.8125282268
0.299675,0.700325,0.0587628173548,135.306387264,70.8125282268
0.30114,0.69886,0.0590015896513,135.856180794,70.8125282268
0.302605,0.697395,0.0592411373073,136.407759656,70.8125282268
0.30407,0.69593,0.0594814669404,136.961139086,70.8125282268
0.305535,0.694465,0.0597225852026,137.516334403,70.8125282268
0.307,0.693,0.059964498781,138.073361002,70.8125282268
0.308465,0.691535,0.0602072143984,138.632234365,70.8125282268
0.30993,0.69007,0.0604507388143,139.192970054,70.8125282268
0.311395,0.688605,0.0606950788254,139.755583721,70.8125282268
0.31286,0.68714,0.0609402412664,140.320091103,70.8125282268
0.314325,0.685675,0.0611862330109,140.886508027,70.8125282268
0.31579,0.68421,0.061433060972,141.454850411,70.8125282268
0.317255,0.682745,0.0616807321029,142.025134265,70.8125282268
0.31872,0.68128,0.0619292533981,142.597375695,70.8125282268
0.320185,0.679815,0.0621786318937,143.171590901,70.8125282268
0.32165,0.67835,0.0624288746684,143.747796184,70.8125282268
0.323115,0.676885,0.0626799888441,144.326007942,70.8125282268
0.32458,0.67542,0.062931981587,144.906242675,70.8125282268
0.326045,0.673955,0.0631848601077,145.488516987,70.8125282268
0.32751,0.67249,0.0634386316628,146.072847587,70.8125282268
0.328975,0.671025,0.0636933035552,146.65925129,70.8125282268
0.33044,0.66956,0.0639488831347,147.24774502,70.8125282268
0.331905,0.668095,0.0642053777994,147.838345811,70.8125282268
0.33337,0.66663,0.0644627949958,148.43107081,70.8125282268
0.334835,0.665165,0.0647211422202,149.025937278,70.8125282268
0.3363,0.6637,0.064980427019,149.62296259,70.8125282268
0.337765,0.662235,0.0652406569899,150.222164242,70.8125282268
0.33923,0.66077,0.0655018397825,150.823559847,70.8125282268
0.340695,0.659305,0.065763983099,151.42716714,70.8125282268
0.34216,0.65784,0.0660270946954,152.033003979,70.8125282268
0.343625,0.656375,0.066291182382,152.64108835,70.8125282268
0.34509,0.65491,0.0665562540245,153.251438362,70.8125282268
0.346555,0.653445,0.0668223175444,153.864072257,70.8125282268
0.34802,0.65198,0.0670893809204,154.479008405,70.8125282268
0.349485,0.650515,0.0673574521888,155.096265312,70.8125282268
0.35095,0.64905,0.0676265394449,155.715861617,70.8125282268
0.352415,0.647585,0.0678966508431,156.337816096,70.8125282268
0.35388,0.64612,0.0681677945986,156.962147665,70.8125282268
0.355345,0.644655,0.0684399789877,157.588875382,70.8125282268
0.35681,0.64319,0.068713212349,158.218018446,70.8125282268
0.358275,0.641725,0.068987503084,158.849596204,70.8125282268
0.35974,0.64026,0.0692628596585,159.483628148,70.8125282268
0.361205,0.638795,0.0695392906032,160.12013392,70.8125282268
0.36267,0.63733,0.0698168045145,160.759133316,70.8125282268
0.364135,0.635865,0.0700954100558,161.400646282,70.8125282268
