Q_mAh_cm2,voltage_V,S_direct_avg,eps_s_feedback_avg,eps_s_tcd_native_raw_avg,eps_s_ode_avg,N_i2_ode_avg,R_precip_fraction_per_s_avg,R_diss_fraction_per_s_avg,i0_i2s_phase_A_m2_avg,j_bare_geom_A_m2,j_i2s_geom_A_m2,j_positive_geom_A_m2,cI2_total_avg_mol_m3,cI2_tank_mol_m3
6.55555555556,1.40145500983,0.227200289524,4.41811145916e-18,-2.40918396344e-14,1.04791058937e-11,1,1.80235145437e-14,9.36038524747e-24,0,410.935303599,0,410.935303599,19.3778898204,18.8938778579
6.66666666667,1.40149689218,0.227919675372,4.47099130906e-18,-2.40918396344e-14,1.06610654825e-11,1,1.8040285996e-14,9.46382894529e-24,0,410.170576874,0,410.170576874,19.697570514,19.2134429591
6.77777777778,1.40153877452,0.228639876551,4.54502309892e-18,-2.40918396344e-14,1.08430250713e-11,1,1.80571077841e-14,9.61157809894e-24,0,409.348043185,0,409.348043185,20.0172512076,19.5330080602
6.88888888889,1.40158065687,0.229360894448,4.54502309892e-18,-2.40918396344e-14,1.10249846601e-11,1,1.80739801353e-14,9.60263635824e-24,0,408.455983146,0,408.455983146,20.3369319012,19.8525731614
7,1.40162253921,0.230082730455,4.57886620286e-18,-2.40918396344e-14,1.12069442489e-11,1,1.80909032781e-14,9.66519680994e-24,0,407.490655998,0,407.490655998,20.6566125948,20.1721382626
7.11111111111,1.40166442156,0.230805385968,4.68198191017e-18,-2.40918396344e-14,1.13889038377e-11,1,1.81078774425e-14,9.87386896915e-24,0,406.468850182,0,406.468850182,20.9762932884,20.4917033637
7.22222222222,1.4017063039,0.231528862383,4.768704864e-18,-2.40918396344e-14,1.15708634265e-11,1,1.81249028601e-14,1.00458911571e-23,0,405.399414731,0,405.399414731,21.295973982,20.8112684649
7.33333333333,1.40174818625,0.232253161102,4.87129177281e-18,-2.40918396344e-14,1.17528230153e-11,1,1.81419797634e-14,1.02516769554e-23,0,404.225189638,0,404.225189638,21.6156546756,21.130833566
7.44444444444,1.40179006859,0.232978283529,4.89773169776e-18,-2.40918396344e-14,1.19347826041e-11,1,1.81591083869e-14,1.02968205697e-23,0,402.894238136,0,402.894238136,21.9353353692,21.4503986672
7.55555555556,1.40183195094,0.233704231071,4.9796954651e-18,-2.40918396344e-14,1.21167421929e-11,1,1.8176288966e-14,1.04594308848e-23,0,401.477741168,0,401.477741168,22.2550160628,21.7699637684
7.66666666667,1.40187383329,0.23443100514,5.01406736754e-18,-2.40918396344e-14,1.22987017817e-11,1,1.8193521738e-14,1.05216531669e-23,0,399.985959143,0,399.985959143,22.5746967564,22.0895288695
7.77777777778,1.40195555788,0.235154695727,5.02728733001e-18,-2.40918396344e-14,1.24920419644e-11,1,1.82107101278e-14,1.05394732248e-23,0,443.985762001,0,443.985762001,22.8926977915,22.4075546476
7.88888888889,1.40204378015,0.235878567422,5.02728733001e-18,-2.40918396344e-14,1.26872381511e-11,1,1.82279346987e-14,1.05294923519e-23,0,495.35257518,0,495.35257518,23.2104248996,22.7253293852
8,1.40213200241,0.236603258728,5.02728733001e-18,-2.40918396344e-14,1.28824343377e-11,1,1.82452114226e-14,1.0519500176e-23,0,546.651593347,0,546.651593347,23.5281520078,23.0431041228
8.11111111111,1.40222022468,0.237328771038,5.02728733001e-18,-2.40918396344e-14,1.30776305244e-11,1,1.82625405366e-14,1.05094966778e-23,0,597.892839508,0,597.892839508,23.8458791159,23.3608788604
