case_id,time_s,q_mAh_cm2,voltage_V,S_direct,S_reconstructed,cI2_surf_free_avg_mol_m3,cI2_surf_tot_avg_mol_m3,beta_surf_avg,cI_minus_surf_avg_mol_m3,eps_s_avg,eps_s_reg_avg,theta_avg,A_bare_avg,K_perm_rel_avg,D_rel_avg,eps_l_eff_avg,Rfilm_avg_ohm_m2,R_precip_avg,R_diss_avg
matched_control,6590,73.2222222222,1.4257880507,0.855107661788,0.855107661788,0.37909773006,309.917163908,817.578925959,1070.24850828,1.59818647066e-09,2.59212423685e-09,8.21373013099e-06,0.99999177284,0.999999973051,0.99999999718,0.849999998402,0.000699516078524,9.54391764129e-14,4.58463295084e-16
matched_control,6600,73.3333333333,1.42580562033,0.856640458592,0.856640458592,0.379777269976,310.222354959,816.919713288,1069.33293512,1.62441083229e-09,2.61832886999e-09,8.24867329169e-06,0.999991737677,0.999999972609,0.999999997133,0.849999998376,0.000703256113076,9.65946088844e-14,4.52474603583e-16
matched_control,6610,73.4444444444,1.42582315379,0.858175624994,0.858175624994,0.380457860414,310.527524905,816.260546206,1068.41742529,1.65081827202e-09,2.64471671322e-09,8.28384480969e-06,0.999991702284,0.999999972163,0.999999997087,0.849999998349,0.000706982255303,9.78133121616e-14,4.46296480081e-16
matched_control,6620,73.5555555556,1.42584065109,0.859713166481,0.859713166481,0.381139503807,310.832673745,815.601424711,1067.50197877,1.67740879069e-09,2.67128776435e-09,8.31924464995e-06,0.999991666662,0.999999971715,0.99999999704,0.849999998323,0.000710694775687,9.91030327796e-14,4.39944607264e-16
matched_control,6630,73.6666666667,1.42585811222,0.861253088559,0.861253088559,0.381822202594,311.137801479,814.942348804,1066.58659556,1.70418238706e-09,2.69804202087e-09,8.3548727756e-06,0.999991630809,0.999999971264,0.999999996993,0.849999998296,0.000714393864877,1.00472265428e-13,4.3343564322e-16
matched_control,6640,73.7777777778,1.42587553718,0.86279539675,0.86279539675,0.382505959226,311.442908108,814.283318486,1065.67127567,1.73113906198e-09,2.72497948086e-09,8.39072914953e-06,0.999991594727,0.999999970809,0.999999996945,0.849999998269,0.00071807977481,1.01930269128e-13,4.26787156183e-16
matched_control,6650,73.8888888889,1.42589292597,0.864340096593,0.864340096593,0.383190776156,311.747993632,813.624333755,1064.7560191,1.75827881536e-09,2.75210014201e-09,8.42681373267e-06,0.999991558415,0.999999970351,0.999999996897,0.849999998242,0.000721752726915,1.03487058672e-13,4.20017533589e-16
matched_control,6660,74,1.4259102786,0.865887193645,0.865887193645,0.383876655849,312.05305805,812.965394612,1063.84082585,1.7856016472e-09,2.77940400229e-09,8.46312648549e-06,0.999991521874,0.999999969891,0.999999996849,0.849999998214,0.000725412934834,1.05153378499e-13,4.13145868471e-16
matched_control,6670,74.1111111111,1.42592759506,0.867436693478,0.867436693478,0.384563600775,312.358101362,812.306501057,1062.92569591,1.81310755793e-09,2.80689105969e-09,8.49966736738e-06,0.999991485103,0.999999969427,0.9999999968,0.849999998187,0.000729060624807,1.06940660936e-13,4.06191821068e-16
matched_control,6680,74.2222222222,1.42594487535,0.868988601686,0.868988601686,0.385251613414,312.663123569,811.647653091,1062.01062929,1.84079654625e-09,2.83456131226e-09,8.53643633647e-06,0.999991448102,0.99999996896,0.999999996752,0.849999998159,0.000732695941808,1.08860982185e-13,3.99175455961e-16
