law,eps_s,K_hydraulic_rel_linear_interpolation,interpolation_scope
current_path,0.000992605359048167,0.994286104478365,between the registered zero and first nonzero network nodes
current_path,0.00101943253091433,0.994131674869672,between the registered zero and first nonzero network nodes
current_path,0.0010462597027805,0.993977245260979,between the registered zero and first nonzero network nodes
current_path,0.00107308687464667,0.993822815652287,between the registered zero and first nonzero network nodes
current_path,0.00109991404651283,0.993668386043594,between the registered zero and first nonzero network nodes
current_path,0.001126741218379,0.993513956434901,between the registered zero and first nonzero network nodes
current_path,0.00115356839024517,0.993359526826208,between the registered zero and first nonzero network nodes
current_path,0.00118039556211133,0.993205097217515,between the registered zero and first nonzero network nodes
current_path,0.0012072227339775,0.993050667608822,between the registered zero and first nonzero network nodes
current_path,0.00123404990584367,0.99289623800013,between the registered zero and first nonzero network nodes
current_path,0.00126087707770983,0.992741808391437,between the registered zero and first nonzero network nodes
current_path,0.001287704249576,0.992587378782744,between the registered zero and first nonzero network nodes
current_path,0.00131453142144217,0.992432949174051,between the registered zero and first nonzero network nodes
current_path,0.00134135859330833,0.992278519565358,between the registered zero and first nonzero network nodes
current_path,0.0013681857651745,0.992124089956665,between the registered zero and first nonzero network nodes
current_path,0.00139501293704067,0.991969660347973,between the registered zero and first nonzero network nodes
current_path,0.00142184010890683,0.99181523073928,between the registered zero and first nonzero network nodes
current_path,0.001448667280773,0.991660801130587,between the registered zero and first nonzero network nodes
current_path,0.00147549445263917,0.991506371521894,between the registered zero and first nonzero network nodes
current_path,0.00150232162450533,0.991351941913201,between the registered zero and first nonzero network nodes
current_path,0.0015291487963715,0.991197512304508,between the registered zero and first nonzero network nodes
current_path,0.00155597596823767,0.991043082695816,between the registered zero and first nonzero network nodes
current_path,0.00158280314010383,0.990888653087123,between the registered zero and first nonzero network nodes
current_path,0.00160963031197,0.99073422347843,between the registered zero and first nonzero network nodes
current_path,0.00163645748383617,0.990579793869737,between the registered zero and first nonzero network nodes
current_path,0.00166328465570233,0.990425364261044,between the registered zero and first nonzero network nodes
current_path,0.0016901118275685,0.990270934652351,between the registered zero and first nonzero network nodes
current_path,0.00171693899943467,0.990116505043659,between the registered zero and first nonzero network nodes
current_path,0.00174376617130083,0.989962075434966,between the registered zero and first nonzero network nodes
current_path,0.001770593343167,0.989807645826273,between the registered zero and first nonzero network nodes
current_path,0.00179742051503317,0.98965321621758,between the registered zero and first nonzero network nodes
current_path,0.00182424768689933,0.989498786608887,between the registered zero and first nonzero network nodes
current_path,0.0018510748587655,0.989344357000194,between the registered zero and first nonzero network nodes
current_path,0.00187790203063167,0.989189927391502,between the registered zero and first nonzero network nodes
current_path,0.00190472920249783,0.989035497782809,between the registered zero and first nonzero network nodes
current_path,0.001931556374364,0.988881068174116,between the registered zero and first nonzero network nodes
current_path,0.00195838354623017,0.988726638565423,between the registered zero and first nonzero network nodes
current_path,0.00198521071809633,0.98857220895673,between the registered zero and first nonzero network nodes
current_path,0.0020120378899625,0.988417779348037,between the registered zero and first nonzero network nodes
current_path,0.00203886506182867,0.988263349739345,between the registered zero and first nonzero network nodes
current_path,0.00206569223369483,0.988108920130652,between the registered zero and first nonzero network nodes
current_path,0.002092519405561,0.987954490521959,between the registered zero and first nonzero network nodes
current_path,0.00211934657742717,0.987800060913266,between the registered zero and first nonzero network nodes
current_path,0.00214617374929333,0.987645631304573,between the registered zero and first nonzero network nodes
current_path,0.0021730009211595,0.98749120169588,between the registered zero and first nonzero network nodes
current_path,0.00219982809302567,0.987336772087188,between the registered zero and first nonzero network nodes
current_path,0.00222665526489183,0.987182342478495,between the registered zero and first nonzero network nodes
current_path,0.002253482436758,0.987027912869802,between the registered zero and first nonzero network nodes
current_path,0.00228030960862417,0.986873483261109,between the registered zero and first nonzero network nodes
current_path,0.00230713678049033,0.986719053652416,between the registered zero and first nonzero network nodes
current_path,0.0023339639523565,0.986564624043723,between the registered zero and first nonzero network nodes
current_path,0.00236079112422267,0.986410194435031,between the registered zero and first nonzero network nodes
current_path,0.00238761829608883,0.986255764826338,between the registered zero and first nonzero network nodes
current_path,0.002414445467955,0.986101335217645,between the registered zero and first nonzero network nodes
current_path,0.00244127263982117,0.985946905608952,between the registered zero and first nonzero network nodes
current_path,0.00246809981168733,0.985792476000259,between the registered zero and first nonzero network nodes
current_path,0.0024949269835535,0.985638046391566,between the registered zero and first nonzero network nodes
current_path,0.00252175415541967,0.985483616782874,between the registered zero and first nonzero network nodes
current_path,0.00254858132728583,0.985329187174181,between the registered zero and first nonzero network nodes
current_path,0.002575408499152,0.985174757565488,between the registered zero and first nonzero network nodes
current_path,0.00260223567101817,0.985020327956795,between the registered zero and first nonzero network nodes
current_path,0.00262906284288433,0.984865898348102,between the registered zero and first nonzero network nodes
current_path,0.0026558900147505,0.984711468739409,between the registered zero and first nonzero network nodes
current_path,0.00268271718661667,0.984557039130717,between the registered zero and first nonzero network nodes
current_path,0.00270954435848283,0.984402609522024,between the registered zero and first nonzero network nodes
current_path,0.002736371530349,0.984248179913331,between the registered zero and first nonzero network nodes
current_path,0.00276319870221517,0.984093750304638,between the registered zero and first nonzero network nodes
current_path,0.00279002587408133,0.983939320695945,between the registered zero and first nonzero network nodes
current_path,0.0028168530459475,0.983784891087252,between the registered zero and first nonzero network nodes
current_path,0.00284368021781367,0.983630461478559,between the registered zero and first nonzero network nodes
current_path,0.00287050738967983,0.983476031869867,between the registered zero and first nonzero network nodes
current_path,0.002897334561546,0.983321602261174,between the registered zero and first nonzero network nodes
current_path,0.00292416173341217,0.983167172652481,between the registered zero and first nonzero network nodes
current_path,0.00295098890527833,0.983012743043788,between the registered zero and first nonzero network nodes
current_path,0.0029778160771445,0.982858313435095,between the registered zero and first nonzero network nodes
current_path,0.00300464324901067,0.982703883826403,between the registered zero and first nonzero network nodes
current_path,0.00303147042087683,0.98254945421771,between the registered zero and first nonzero network nodes
current_path,0.003058297592743,0.982395024609017,between the registered zero and first nonzero network nodes
current_path,0.00308512476460917,0.982240595000324,between the registered zero and first nonzero network nodes
current_path,0.00311195193647533,0.982086165391631,between the registered zero and first nonzero network nodes
current_path,0.0031387791083415,0.981931735782938,between the registered zero and first nonzero network nodes
current_path,0.00316560628020767,0.981777306174246,between the registered zero and first nonzero network nodes
current_path,0.00319243345207383,0.981622876565553,between the registered zero and first nonzero network nodes
current_path,0.00321926062394,0.98146844695686,between the registered zero and first nonzero network nodes
small_throat,0,1,between the registered zero and first nonzero network nodes
small_throat,2.68271718661667e-05,0.999931887800066,between the registered zero and first nonzero network nodes
small_throat,5.36543437323333e-05,0.999863775600131,between the registered zero and first nonzero network nodes
small_throat,8.04815155985e-05,0.999795663400197,between the registered zero and first nonzero network nodes
small_throat,0.000107308687464667,0.999727551200263,between the registered zero and first nonzero network nodes
small_throat,0.000134135859330833,0.999659439000328,between the registered zero and first nonzero network nodes
small_throat,0.000160963031197,0.999591326800394,between the registered zero and first nonzero network nodes
small_throat,0.000187790203063167,0.99952321460046,between the registered zero and first nonzero network nodes
small_throat,0.000214617374929333,0.999455102400525,between the registered zero and first nonzero network nodes
small_throat,0.0002414445467955,0.999386990200591,between the registered zero and first nonzero network nodes
small_throat,0.000268271718661667,0.999318878000657,between the registered zero and first nonzero network nodes
small_throat,0.000295098890527833,0.999250765800722,between the registered zero and first nonzero network nodes
small_throat,0.000321926062394,0.999182653600788,between the registered zero and first nonzero network nodes
small_throat,0.000348753234260167,0.999114541400854,between the registered zero and first nonzero network nodes
small_throat,0.000375580406126333,0.999046429200919,between the registered zero and first nonzero network nodes
small_throat,0.0004024075779925,0.998978317000985,between the registered zero and first nonzero network nodes
small_throat,0.000429234749858667,0.998910204801051,between the registered zero and first nonzero network nodes
small_throat,0.000456061921724833,0.998842092601116,between the registered zero and first nonzero network nodes
small_throat,0.000482889093591,0.998773980401182,between the registered zero and first nonzero network nodes
