Q,V_baseline_KC,V_network_cpath,dV_mV,K_perm_rel_KC,K_perm_rel_network,eps_s
75.222222,1.4260986,1.4260989,0.00029999999995311555,0.99999997,1.0,2.0734743e-09
75.333333,1.4261155,1.4261158,0.00029999999995311555,0.99999996,1.0,2.1026457e-09
75.444444,1.4261344,1.4261347,0.00029999999995311555,0.99999995,1.0,2.8009683e-09
75.555556,1.4261539,1.4261542,0.00029999999995311555,0.99999994,1.0,3.7670792e-09
75.666667,1.4261735,1.4261738,0.00029999999995311555,0.99999992,0.99999999,4.7504843e-09
75.777778,1.4261931,1.4261934,0.00029999999995311555,0.9999999,0.99999999,5.75103e-09
75.888889,1.4262127,1.426213,0.00029999999995311555,0.99999989,0.99999999,6.7687161e-09
76.0,1.4262323,1.4262326,0.00030000000017516015,0.99999987,0.99999999,7.8035427e-09
76.111111,1.426252,1.4262523,0.00029999999995311555,0.99999985,0.99999999,8.8555098e-09
76.222222,1.4262716,1.4262719,0.00029999999995311555,0.99999983,0.99999999,9.9246173e-09
76.333333,1.4262913,1.4262916,0.00030000000017516015,0.99999981,0.99999999,1.1010865e-08
76.444444,1.4263109,1.4263113,0.00040000000001150227,0.9999998,0.99999998,1.2114254e-08
76.555556,1.4263306,1.4263309,0.00029999999995311555,0.99999978,0.99999998,1.3234783e-08
76.666667,1.4263503,1.4263506,0.00029999999995311555,0.99999976,0.99999998,1.4372452e-08
76.777778,1.42637,1.4263704,0.00040000000001150227,0.99999974,0.99999998,1.5527262e-08
76.888889,1.4263898,1.4263901,0.00030000000017516015,0.99999972,0.99999998,1.6699213e-08
77.0,1.4264095,1.4264098,0.00029999999995311555,0.9999997,0.99999998,1.7888304e-08
77.111111,1.4264292,1.4264296,0.00040000000001150227,0.99999968,0.99999997,1.9094535e-08
77.222222,1.426449,1.4264493,0.00029999999995311555,0.99999966,0.99999997,2.0317907e-08
77.333333,1.4264688,1.4264691,0.00029999999995311555,0.99999964,0.99999997,2.1558419e-08
77.444444,1.4264886,1.4264889,0.00029999999995311555,0.99999962,0.99999997,2.2816072e-08
77.555556,1.4265084,1.4265087,0.00030000000017516015,0.99999959,0.99999997,2.4090865e-08
77.666667,1.4265282,1.4265285,0.00030000000017516015,0.99999957,0.99999996,2.5382799e-08
77.777778,1.426548,1.4265484,0.00040000000001150227,0.99999955,0.99999996,2.6691916e-08
77.888889,1.4265679,1.4265682,0.00029999999995311555,0.99999953,0.99999996,2.8018232e-08
78.0,1.4265877,1.4265881,0.00040000000001150227,0.9999995,0.99999996,2.9361689e-08
78.111111,1.4266076,1.4266079,0.00029999999995311555,0.99999948,0.99999995,3.0722288e-08
78.222222,1.4266275,1.4266278,0.00029999999995311555,0.99999946,0.99999995,3.210003e-08
78.333333,1.4266474,1.4266477,0.00029999999995311555,0.99999944,0.99999995,3.3494913e-08
78.444444,1.4266697,1.42667,0.00030000000017516015,0.99999939,0.99999995,3.6009366e-08
78.555556,1.4266931,1.4266934,0.00029999999995311555,0.99999934,0.99999994,3.9026279e-08
78.666667,1.4267167,1.4267171,0.00040000000001150227,0.99999929,0.99999994,4.2178088e-08
78.777778,1.4267406,1.4267409,0.00029999999995311555,0.99999923,0.99999993,4.5461358e-08
78.888889,1.4267647,1.4267651,0.00039999999978945766,0.99999918,0.99999993,4.8877433e-08
79.0,1.4267891,1.4267894,0.00030000000017516015,0.99999912,0.99999992,5.2425223e-08
79.111111,1.4268137,1.426814,0.00029999999995311555,0.99999905,0.99999991,5.6109548e-08
79.222222,1.4268386,1.4268389,0.00029999999995311555,0.99999899,0.99999991,5.9925322e-08
79.333333,1.4268637,1.426864,0.00029999999995311555,0.99999892,0.9999999,6.3870848e-08
79.444444,1.4268891,1.4268894,0.00030000000017516015,0.99999885,0.99999989,6.7954061e-08
79.555556,1.4269147,1.426915,0.00029999999995311555,0.99999878,0.99999989,7.2167709e-08
79.666667,1.4269406,1.4269409,0.00029999999995311555,0.99999871,0.99999988,7.6516065e-08
79.777778,1.4269667,1.426967,0.00030000000017516015,0.99999863,0.99999987,8.0997556e-08
79.888889,1.426993,1.4269933,0.00029999999995311555,0.99999856,0.99999986,8.5613752e-08
80.0,1.4270196,1.4270199,0.00029999999995311555,0.99999848,0.99999985,9.0360642e-08
80.111111,1.4270468,1.4270471,0.00029999999995311555,0.99999839,0.99999984,9.539233e-08
80.222222,1.427076,1.4270762,0.00019999999989472883,0.99999829,0.99999983,1.0153517e-07
80.333333,1.4271057,1.4271059,0.00019999999989472883,0.99999818,0.99999982,1.0796391e-07
