m_exp,v_ratio,flow_mL_min,delta_ratio,delta_um,Q_onset,dQ
0.4,3.6102564102564103,180.51282051282053,0.5983906251106732,14.95976562776683,90.86179481433632,7.8415953424920275
0.4,3.707692307692308,185.3846153846154,0.5920501910943303,14.80125477735826,90.98614815503745,7.965948683193162
0.4,3.8051282051282054,190.25641025641028,0.5859388339127605,14.648470847819013,91.10599265259205,8.085793180747757
0.4,3.902564102564103,195.12820512820514,0.5800427218923845,14.501068047309612,91.22161439059307,8.201414918748782
0.4,4.0,200.0,0.5743491774985174,14.358729437462937,91.33326328340324,8.313063811558948
0.5,0.2,10.0,2.23606797749979,55.90169943749475,59.18296689636465,-23.837232575479646
0.5,0.29743589743589743,14.871794871794872,1.8335945477441957,45.8398636936049,66.90396449637794,-16.116234975466355
0.5,0.3948717948717949,19.743589743589745,1.5913728452086684,39.78432113021672,71.5701288144657,-11.450070657378589
0.5,0.49230769230769234,24.615384615384617,1.4252192813739224,35.63048203434806,74.77876735852028,-8.24143211332401
0.5,0.5897435897435898,29.48717948717949,1.3021720984236467,32.55430246059117,77.15931048771591,-5.86088898412838
0.5,0.6871794871794872,34.35897435897436,1.206326606105086,30.15816515262715,79.016228451464,-4.003971020380291
0.5,0.7846153846153847,39.23076923076923,1.1289418957242965,28.223547393107417,80.51718445358388,-2.503015018260413
0.5,0.882051282051282,44.1025641025641,1.064763321228036,26.619083030700903,81.76321560917,-1.2569838626742893
0.5,0.9794871794871796,48.97435897435898,1.010416947787874,25.26042369469685,82.81931249388869,-0.20088697795560506
0.5,1.0769230769230769,53.84615384615385,0.9636241116594315,24.09060279148579,83.72932677207106,0.7091273002267684
0.5,1.1743589743589744,58.71794871794872,0.9227829562142313,23.06957390535578,84.52419409958074,1.5039946277364464
0.5,1.2717948717948717,63.589743589743584,0.8867301295099007,22.168253237747518,85.22649303116867,2.2062935593243793
0.5,1.3692307692307693,68.46153846153847,0.8545976121261312,21.36494030315328,85.85281082573657,2.8326113538922755
0.5,1.4666666666666666,73.33333333333333,0.8257228238447705,20.643070596119266,86.41595769345905,3.3957582216147557
0.5,1.564102564102564,78.2051282051282,0.7995900589021114,19.989751472552786,86.92584747961205,3.905648007767752
0.5,1.6615384615384614,83.07692307692307,0.775791113542719,19.39477783856798,87.39052699842867,4.370327526584376
0.5,1.758974358974359,87.94871794871794,0.7539980898739251,18.84995224684813,87.81629744811482,4.796097976270531
0.5,1.8564102564102565,92.82051282051282,0.7339441621466658,18.348604053666644,88.20818663847322,5.187987166628929
0.5,1.9538461538461538,97.6923076923077,0.7154096893543218,17.885242233858047,88.57052976967464,5.550330297830342
