"case_id","q_mAh_cm2","S_avg","cI2_surf_tot_avg","beta_surf_avg"
"baseline_J40_Q120","13.6666666667","0.274682901669","143.360992297","1177.34025664"
"baseline_J40_Q120","13.7777777778","0.275452208893","143.678719405","1176.65396608"
"baseline_J40_Q120","13.8888888889","0.276222414122","143.996446513","1175.96767553"
"baseline_J40_Q120","14.0","0.276993518932","144.314173621","1175.28138498"
"baseline_J40_Q120","14.1111111111","0.277765524898","144.631900729","1174.59509442"
"baseline_J40_Q120","14.2222222222","0.278538433602","144.949627838","1173.90880387"
"baseline_J40_Q120","14.3333333333","0.279312246628","145.267354946","1173.22251332"
"baseline_J40_Q120","14.4444444444","0.280086965564","145.585082054","1172.53622276"
"baseline_J40_Q120","14.5555555556","0.280862592001","145.902809162","1171.84993221"
"baseline_J40_Q120","14.6666666667","0.281639127537","146.22053627","1171.16364166"
"baseline_J40_Q120","14.7777777778","0.282416573769","146.538263378","1170.4773511"
"baseline_J40_Q120","14.8888888889","0.283194932302","146.855990486","1169.79106055"
"baseline_J40_Q120","15.0","0.283974204741","147.173717594","1169.10477"
"baseline_J40_Q120","15.1111111111","0.284754392698","147.491444702","1168.41847944"
"baseline_J40_Q120","15.2222222222","0.285535497787","147.809171811","1167.73218889"
"baseline_J40_Q120","15.3333333333","0.286317521626","148.126898919","1167.04589834"
"baseline_J40_Q120","15.4444444444","0.2870957158","148.442691863","1166.36378558"
"baseline_J40_Q120","15.5555555556","0.287873160029","148.757809345","1165.68313181"
"baseline_J40_Q120","15.6666666667","0.288651512803","149.072926826","1165.00247805"
"baseline_J40_Q120","15.7777777778","0.289430775716","149.388044308","1164.32182429"
"baseline_J40_Q120","15.8888888889","0.290210950364","149.70316179","1163.64117053"
"baseline_J40_Q120","16.0","0.29099203835","150.018279271","1162.96051677"
"baseline_J40_Q120","16.1111111111","0.291774041277","150.333396753","1162.27986301"
"baseline_J40_Q120","16.2222222222","0.292556960755","150.648514234","1161.59920925"
"baseline_J40_Q120","16.3333333333","0.293340798396","150.963631716","1160.91855549"
"baseline_J40_Q120","16.4444444444","0.294125555817","151.278749197","1160.23790173"
"baseline_J40_Q120","16.5555555556","0.294911234636","151.593866679","1159.55724797"
"baseline_J40_Q120","16.6666666667","0.295697836479","151.90898416","1158.87659421"
"baseline_J40_Q120","16.7777777778","0.296485362972","152.224101642","1158.19594045"
"baseline_J40_Q120","16.8888888889","0.297273815747","152.539219124","1157.51528669"
"baseline_J40_Q120","17.0","0.29806319644","152.854336605","1156.83463293"
"baseline_J40_Q120","17.1111111111","0.298853506689","153.169454087","1156.15397917"
"baseline_J40_Q120","17.2222222222","0.299644748137","153.484571568","1155.47332541"
