Q_mAh_cm2,V_baseline_KC_V,V_network_smooth_path_V,DeltaV_network_minus_KC_mV,K_over_K0_baseline_KC,K_over_K0_network_smooth_path,eps_s_baseline_KC,eps_s_network_smooth_path,evidence_class
9.5555556,1.4033671,1.4033676,0.000499999999848,1,1,5.0061354e-18,8.5675933e-18,E-SIM
9.6666667,1.4034553,1.4034558,0.000499999999848,1,1,5.0061354e-18,8.5675933e-18,E-SIM
9.7777778,1.4035436,1.4035441,0.00050000000007,1,1,5.0061354e-18,8.5675933e-18,E-SIM
9.8888889,1.4036318,1.4036323,0.000499999999848,1,1,5.0061354e-18,8.5675933e-18,E-SIM
10,1.40372,1.4037205,0.000499999999848,1,1,5.0061354e-18,8.5675933e-18,E-SIM
10.111111,1.4038082,1.4038087,0.000499999999848,1,1,5.0061354e-18,8.5675933e-18,E-SIM
10.222222,1.4038964,1.4038969,0.000499999999848,1,1,5.0061354e-18,8.5675933e-18,E-SIM
10.333333,1.4039847,1.4039851,0.000400000000012,1,1,5.0061354e-18,8.5675933e-18,E-SIM
10.444444,1.4040729,1.4040734,0.000499999999848,1,1,5.0061354e-18,8.5675933e-18,E-SIM
10.555556,1.4041611,1.4041616,0.000499999999848,1,1,5.0061354e-18,8.5675933e-18,E-SIM
10.666667,1.4042493,1.4042498,0.00050000000007,1,1,5.0061354e-18,8.5675933e-18,E-SIM
10.777778,1.4043376,1.404338,0.000400000000012,1,1,5.0061354e-18,8.5675933e-18,E-SIM
10.888889,1.4044258,1.4044262,0.000400000000012,1,1,5.0061354e-18,8.5675933e-18,E-SIM
11,1.404514,1.4045144,0.000400000000012,1,1,5.0061354e-18,8.5675933e-18,E-SIM
11.111111,1.4046022,1.4046027,0.00050000000007,1,1,5.0061354e-18,8.5675933e-18,E-SIM
11.222222,1.4046904,1.4046909,0.00050000000007,1,1,5.0061354e-18,8.5675933e-18,E-SIM
11.333333,1.4047787,1.4047791,0.000400000000012,1,1,5.0061354e-18,8.5675933e-18,E-SIM
11.444444,1.4048669,1.4048673,0.000400000000012,1,1,5.0061354e-18,8.5675933e-18,E-SIM
11.555556,1.4049551,1.4049555,0.000400000000012,1,1,5.0061354e-18,8.5675933e-18,E-SIM
11.666667,1.4050433,1.4050437,0.000400000000012,1,1,5.0272873e-18,8.5675933e-18,E-SIM
11.777778,1.4051316,1.4051319,0.000299999999953,1,1,5.0272873e-18,8.5675933e-18,E-SIM
11.888889,1.4052198,1.4052202,0.000400000000012,1,1,5.0272873e-18,8.5675933e-18,E-SIM
12,1.405308,1.4053084,0.000400000000012,1,1,5.0272873e-18,8.5675933e-18,E-SIM
12.111111,1.4053962,1.4053966,0.000400000000012,1,1,5.0272873e-18,8.5675933e-18,E-SIM
