m_exp,v_ratio,flow_mL_min,delta_ratio,delta_um,Q_onset,dQ,within_declared_25_to_100_mL_min,evidence_class
0.4,1.85641025641,92.8205128205,0.7807831213,19.5195780325,87.293032448,4.27283297619,True,E-POST
0.4,1.95384615385,97.6923076923,0.764969032303,19.1242258076,87.601930246,4.58173077411,True,E-POST
0.4,2.05128205128,102.564102564,0.750222090652,18.7555522663,87.8901014957,4.8699020239,False,E-POST
0.4,2.14871794872,107.435897436,0.736424511541,18.4106127885,88.1597004131,5.13950094125,False,E-POST
0.4,2.24615384615,112.307692308,0.72347611924,18.086902981,88.4128030442,5.39260357232,False,E-POST
0.4,2.34358974359,117.179487179,0.71129108342,17.7822770855,88.6510702511,5.63087077927,False,E-POST
0.4,2.44102564103,122.051282051,0.699795367886,17.4948841972,88.875961086,5.85576161418,False,E-POST
0.4,2.53846153846,126.923076923,0.68892471458,17.2231178645,89.0887179436,6.06851847171,False,E-POST
0.4,2.6358974359,131.794871795,0.678623034705,16.9655758676,89.290332509,6.27013303719,False,E-POST
0.4,2.73333333333,136.666666667,0.668841113049,16.7210278262,89.4817616139,6.46156214205,False,E-POST
0.4,2.83076923077,141.538461538,0.659535555751,16.4883888938,89.6639025189,6.64370304701,False,E-POST
0.4,2.92820512821,146.41025641,0.650667929118,16.2666982279,89.837476629,6.81727715711,False,E-POST
0.4,3.02564102564,151.282051282,0.642204049721,16.055101243,90.0032152535,6.98301578168,False,E-POST
0.4,3.12307692308,156.153846154,0.634113395262,15.8528348815,90.1616466008,7.14144712898,False,E-POST
0.4,3.22051282051,161.025641026,0.626368612599,15.659215315,90.3133732314,7.29317375959,False,E-POST
0.4,3.31794871795,165.897435897,0.618945104514,15.4736276129,90.4588329316,7.43863345974,False,E-POST
0.4,3.41538461538,170.769230769,0.611820680704,15.2955170176,90.5984580346,7.57825856279,False,E-POST
0.4,3.51282051282,175.641025641,0.604975261494,15.1243815374,90.7326639281,7.71246445623,False,E-POST
0.4,3.61025641026,180.512820513,0.598390625111,14.9597656278,90.8617948143,7.84159534249,False,E-POST
0.4,3.70769230769,185.384615385,0.592050191094,14.8012547774,90.986148155,7.96594868319,False,E-POST
0.4,3.80512820513,190.256410256,0.585938833913,14.6484708478,91.1059926526,8.08579318075,False,E-POST
0.4,3.90256410256,195.128205128,0.580042721892,14.5010680473,91.2216143906,8.20141491875,False,E-POST
0.4,4,200,0.574349177499,14.3587294375,91.3332632834,8.31306381156,False,E-POST
0.5,0.2,10,2.2360679775,55.9016994375,59.1829668964,-23.8372325755,False,E-POST
0.5,0.297435897436,14.8717948718,1.83359454774,45.8398636936,66.9039644964,-16.1162349755,False,E-POST
0.5,0.394871794872,19.7435897436,1.59137284521,39.7843211302,71.5701288145,-11.4500706574,False,E-POST
0.5,0.492307692308,24.6153846154,1.42521928137,35.6304820343,74.7787673585,-8.24143211332,False,E-POST
0.5,0.589743589744,29.4871794872,1.30217209842,32.5543024606,77.1593104877,-5.86088898413,True,E-POST
0.5,0.687179487179,34.358974359,1.20632660611,30.1581651526,79.0162284515,-4.00397102038,True,E-POST
0.5,0.784615384615,39.2307692308,1.12894189572,28.2235473931,80.5171844536,-2.50301501826,True,E-POST
0.5,0.882051282051,44.1025641026,1.06476332123,26.6190830307,81.7632156092,-1.25698386267,True,E-POST
0.5,0.979487179487,48.9743589744,1.01041694779,25.2604236947,82.8193124939,-0.200886977956,True,E-POST
0.5,1.07692307692,53.8461538462,0.963624111659,24.0906027915,83.7293267721,0.709127300227,True,E-POST
0.5,1.17435897436,58.7179487179,0.922782956214,23.0695739054,84.5241940996,1.50399462774,True,E-POST
0.5,1.27179487179,63.5897435897,0.88673012951,22.1682532377,85.2264930312,2.20629355932,True,E-POST
0.5,1.36923076923,68.4615384615,0.854597612126,21.3649403032,85.8528108257,2.83261135389,True,E-POST
0.5,1.46666666667,73.3333333333,0.825722823845,20.6430705961,86.4159576935,3.39575822161,True,E-POST
0.5,1.5641025641,78.2051282051,0.799590058902,19.9897514726,86.9258474796,3.90564800777,True,E-POST
0.5,1.66153846154,83.0769230769,0.775791113543,19.3947778386,87.3905269984,4.37032752658,True,E-POST
0.5,1.75897435897,87.9487179487,0.753998089874,18.8499522468,87.8162974481,4.79609797627,True,E-POST
0.5,1.85641025641,92.8205128205,0.733944162147,18.3486040537,88.2081866385,5.18798716663,True,E-POST
0.5,1.95384615385,97.6923076923,0.715409689354,17.8852422339,88.5705297697,5.55033029783,True,E-POST
0.5,2.05128205128,102.564102564,0.698212002188,17.4553000547,88.9069423333,5.88674286148,False,E-POST
0.5,2.14871794872,107.435897436,0.682197768062,17.0549442016,89.2203982173,6.2001987455,False,E-POST
0.5,2.24615384615,112.307692308,0.667237198792,16.6809299698,89.5131480794,6.49294860757,False,E-POST
0.5,2.34358974359,117.179487179,0.653219597418,16.3304899354,89.7875374588,6.767337987,False,E-POST
0.5,2.44102564103,122.051282051,0.640049893013,16.0012473253,90.0453795589,7.02518008707,False,E-POST
0.5,2.53846153846,126.923076923,0.627645914461,15.6911478615,90.2883404435,7.2681409717,False,E-POST
0.5,2.6358974359,131.794871795,0.615936223895,15.3984055974,90.5177907714,7.49759129954,False,E-POST
0.5,2.73333333333,136.666666667,0.604858378909,15.1214594727,90.7349561237,7.7147566519,False,E-POST
0.5,2.83076923077,141.538461538,0.594357526717,14.8589381679,90.94088355,7.92068407812,False,E-POST
0.5,2.92820512821,146.41025641,0.584385257854,14.6096314464,91.1364435008,8.11624402891,False,E-POST
0.5,3.02564102564,151.282051282,0.574898664615,14.3724666154,91.3224791592,8.30227968738,False,E-POST
0.5,3.12307692308,156.153846154,0.565859562378,14.1464890595,91.4997460415,8.47954656965,False,E-POST
0.5,3.22051282051,161.025641026,0.557233841524,13.9308460381,91.6689822546,8.6487827828,False,E-POST
0.5,3.31794871795,165.897435897,0.548990924833,13.7247731208,91.8306968053,8.81049733343,False,E-POST
0.5,3.41538461538,170.769230769,0.541103310647,13.5275827662,91.9855280756,8.9653286038,False,E-POST
0.5,3.51282051282,175.641025641,0.533546186236,13.3386546559,92.1339040169,9.11370454506,False,E-POST
0.5,3.61025641026,180.512820513,0.52629709895,13.1574274738,92.276263551,9.25606407914,False,E-POST
0.5,3.70769230769,185.384615385,0.519335675232,12.9833918808,92.4129989481,9.3927994763,False,E-POST
0.5,3.80512820513,190.256410256,0.512643379457,12.8160844864,92.5444667785,9.52426730661,False,E-POST
0.5,3.90256410256,195.128205128,0.506203306115,12.6550826529,92.6709907315,9.65079125964,False,E-POST
0.5,4,200,0.5,12.5,92.7928566002,9.77265712832,False,E-POST
0.6,0.2,10,2.6265278044,65.6631951101,51.7227361082,-31.2974633636,False,E-POST
0.6,0.297435897436,14.8717948718,2.0699696158,51.7492403949,62.3642626284,-20.6559368435,False,E-POST
0.6,0.394871794872,19.7435897436,1.74633006816,43.658251704,68.5834662723,-14.4367331996,False,E-POST
0.6,0.492307692308,24.6153846154,1.52988232435,38.2470581088,72.7568363162,-10.2633631556,False,E-POST
0.6,0.589743589744,29.4871794872,1.37278353799,34.3195884497,75.7927389301,-7.22746054176,True,E-POST
0.6,0.687179487179,34.358974359,1.25244276355,31.3110690887,78.122484592,-4.89771487981,True,E-POST
0.6,0.784615384615,39.2307692308,1.15666050976,28.916512744,79.9793816242,-3.04081784765,True,E-POST
0.6,0.882051282051,44.1025641026,1.07821085215,26.9552713038,81.5020146597,-1.51818481217,True,E-POST
0.6,0.979487179487,48.9743589744,1.01251332288,25.312833072,82.7785784266,-0.241621045283,True,E-POST
0.6,1.07692307692,53.8461538462,0.956509284608,23.9127321152,83.8677589472,0.847559475325,True,E-POST
0.6,1.17435897436,58.7179487179,0.908070312237,22.7017578059,84.8107175067,1.7905180349,True,E-POST
0.6,1.27179487179,63.5897435897,0.865664799795,21.6416199949,85.6370484433,2.61684897149,True,E-POST
0.6,1.36923076923,68.4615384615,0.828159541736,20.7039885434,86.3684205948,3.34822112295,True,E-POST
0.6,1.46666666667,73.3333333333,0.794696219369,19.8674054842,87.0213800845,4.00118061264,True,E-POST
0.6,1.5641025641,78.2051282051,0.76461156611,19.1152891528,87.608913577,4.58871410518,True,E-POST
0.6,1.66153846154,83.0769230769,0.737384086228,18.4346021557,88.1409526439,5.12075317201,True,E-POST
0.6,1.75897435897,87.9487179487,0.712597500666,17.8149375167,88.6255115718,5.60531209992,True,E-POST
0.6,1.85641025641,92.8205128205,0.689915058938,17.2478764734,89.0693245589,6.04912508705,True,E-POST
0.6,1.95384615385,97.6923076923,0.669061101835,16.7265275459,89.4774579729,6.45725850109,True,E-POST
0.6,2.05128205128,102.564102564,0.649807578415,16.2451894604,89.8543238601,6.83412438821,False,E-POST
0.6,2.14871794872,107.435897436,0.631964020013,15.7991005003,90.2037586719,7.18355920008,False,E-POST
0.6,2.24615384615,112.307692308,0.615369972294,15.3842493073,90.5288926021,7.50869313022,False,E-POST
0.6,2.34358974359,117.179487179,0.599889204852,14.9972301213,90.8323987719,7.81219930007,False,E-POST
0.6,2.44102564103,122.051282051,0.585405226079,14.635130652,91.1164559525,8.09625648067,False,E-POST
0.6,2.53846153846,126.923076923,0.571817769928,14.2954442482,91.3828838725,8.3626844007,False,E-POST
0.6,2.6358974359,131.794871795,0.559040015598,13.97600039,91.6335293776,8.6133299058,False,E-POST
0.6,2.73333333333,136.666666667,0.5469963664,13.67490916,91.869849144,8.84964967213,False,E-POST
0.6,2.83076923077,141.538461538,0.535620659849,13.3905164962,92.0931710886,9.07297161676,False,E-POST
0.6,2.92820512821,146.41025641,0.524854713618,13.1213678404,92.3045995413,9.2844000695,False,E-POST
0.6,3.02564102564,151.282051282,0.51464713547,12.8661783868,92.5050899113,9.48489043947,False,E-POST
0.6,3.12307692308,156.153846154,0.50495234248,12.623808562,92.6955522619,9.67535279009,False,E-POST
