time_label,time_s,Q_mAh_cm2,x_m,y_m,eps_s_pos,theta_eff,A_bare_frac,j_total_A_m2,one_minus_theta_eff,A_bare_native_minus_one_minus_theta
q080,7200,80,0.0040370370370399998,0,0,5.9999820000200002e-06,0.99999400001799998,0.00304796663882,0.99999400001799998,0
q080,7200,80,0.0040740740740699997,0,0,5.9999820000200002e-06,0.99999400001799998,0.0030531053196700001,0.99999400001799998,0
q080,7200,80,0.0041111111111100003,0,0,5.9999820000200002e-06,0.99999400001799998,0.0030624390160999999,0.99999400001799998,0
q080,7200,80,0.00414814814815,0,0,5.9999820000200002e-06,0.99999400001799998,0.0030748923610100002,0.99999400001799998,0
q080,7200,80,0.0041851851851899997,0,0,5.9999820000200002e-06,0.99999400001799998,0.0031445779545199999,0.99999400001799998,0
q080,7200,80,0.0042222222222199996,0,0,5.9999820000200002e-06,0.99999400001799998,0.00327149629224,0.99999400001799998,0
q080,7200,80,0.0042592592592600002,0,0,5.9999820000200002e-06,0.99999400001799998,0.0034360606422099999,0.99999400001799998,0
q080,7200,80,0.0042962962963,0,0,5.9999820000200002e-06,0.99999400001799998,0.00437446396232,0.99999400001799998,0
q080,7200,80,0.0043333333333299999,0,0,5.9999820000200002e-06,0.99999400001799998,0.0060867055518000002,0.99999400001799998,0
q080,7200,80,0.0043703703703699996,0,0,5.9999820000200002e-06,0.99999400001799998,0.0082855800055899997,0.99999400001799998,0
q080,7200,80,0.0044074074074100002,0,0,5.9999820000200002e-06,0.99999400001799998,0.020876575532300001,0.99999400001799998,0
q080,7200,80,0.0044444444444400001,0,0,5.9999820000200002e-06,0.99999400001799998,0.043859692335199998,0.99999400001799998,0
q080,7200,80,0.0044814814814799998,0,0,5.9999820000200002e-06,0.99999400001799998,0.073155003254399997,0.99999400001799998,0
q080,7200,80,0.0045185185185200004,0,0,5.9999820000200002e-06,0.99999400001799998,0.24203768523800001,0.99999400001799998,0
q080,7200,80,0.0045555555555600001,0,0,5.9999820000200002e-06,0.99999400001799998,0.55050773808999998,0.99999400001799998,0
q080,7200,80,0.00459259259259,0,0,5.9999820000200002e-06,0.99999400001799998,0.94113666761799997,0.99999400001799998,0
q080,7200,80,0.0046296296296299997,0,0,5.9999820000200002e-06,0.99999400001799998,3.2030398994299998,0.99999400001799998,0
q080,7200,80,0.0046666666666700003,0,0,5.9999820000200002e-06,0.99999400001799998,7.3362176348199997,0.99999400001799998,0
q080,7200,80,0.0047037037037000002,0,0,5.9999820000200002e-06,0.99999400001799998,12.553723099100001,0.99999400001799998,0
q080,7200,80,0.00474074074074,0,0,5.9999820000200002e-06,0.99999400001799998,42.861350481199999,0.99999400001799998,0
q080,7200,80,0.0047777777777799997,0,1.1102230246299999e-16,5.9999820000200002e-06,0.99999400001799998,98.259567649700003,0.99999400001799998,0
