q_mAh_cm2,time_s,V_control_V,V_physical_dense_V,deltaV_physical_minus_control_V,eps_s_control,eps_s_physical_dense,theta_control,theta_physical_dense,theta_dense_shadow_on_control,S_control,S_physical_dense,K_control,K_physical_dense
97,8730,1.44765547844,1.43236469521,-0.01529078323,8.49526126443e-05,8.39025527194e-05,0.386249694143,0.0971787979873,0.0985814438953,1.24931281276,1.24926597967,0.998568968054,0.998586599403
97.1111111111,8740,1.44792461981,1.43239847214,-0.01552614767,8.63482615163e-05,8.52661487633e-05,0.391365576827,0.0981151362382,0.0995342917457,1.25150452026,1.25145921714,0.998545481756,0.998563650328
97.2222222222,8750,1.44819673435,1.432431483,-0.01576525135,8.77566996354e-05,8.66416613784e-05,0.396487797539,0.0990529390433,0.100488978815,1.25369800422,1.25364979023,0.998521781025,0.998540501406
97.3333333333,8760,1.44847219008,1.43246437256,-0.01600781752,8.91779655996e-05,8.80290961249e-05,0.401615343772,0.0999921821012,0.10144549416,1.25589037933,1.25584164965,0.998497865237,0.998517152562
97.4444444444,8770,1.44875088955,1.43249743146,-0.01625345809,9.06121080233e-05,8.94284654159e-05,0.40674739341,0.100932847758,0.102403833518,1.25808643149,1.25803610022,0.998473733595,0.998493603605
97.5555555556,8780,1.44903261354,1.43253059691,-0.01650201663,9.20591726788e-05,9.08397984513e-05,0.4118833644,0.101874927001,0.10336399057,1.26028762672,1.26023435414,0.998449385352,0.998469854062
97.6666666667,8790,1.44931734104,1.4325638363,-0.01675350474,9.35191979941e-05,9.22631033497e-05,0.417022546695,0.102818397068,0.104325954056,1.26249376656,1.26243671612,0.998424819884,0.998445903817
97.7777777778,8800,1.44960514584,1.43259705361,-0.01700809223,9.49922315352e-05,9.36984195355e-05,0.422164242292,0.103763255058,0.105289718699,1.26470310934,1.26464470291,0.998400036416,0.998421752226
97.8888888889,8810,1.44989595726,1.43263043656,-0.0172655207,9.64783210739e-05,9.51457933731e-05,0.427307564132,0.104709499201,0.106255279209,1.26691391154,1.26686164641,0.998375034167,0.998397398527
98,8820,1.45019002394,1.43266402568,-0.01752599826,9.79775085486e-05,9.66052558893e-05,0.432451846532,0.105657120247,0.107222626406,1.26912903537,1.26908905476,0.998349812457,0.99837284222
98.1111111111,8830,1.45048741766,1.43269675642,-0.01779066124,9.94898467956e-05,9.80767875216e-05,0.4375964658,0.106606093075,0.108191758037,1.27135008458,1.2713088187,0.998324370422,0.998348083649
