sign,ix,iy,iz,delta_rho_e_A-3,x_display_A,y_display_A,z_display_A,periodic_xy_translation_only
accumulation,8,63,59,0.00494222668931,16.7246825973,16.77375,15.7333333333,True
accumulation,8,63,60,0.00360396527685,16.7246825973,16.77375,16,True
accumulation,8,63,61,0.0020325104706,16.7246825973,16.77375,16.2666666667,True
accumulation,8,64,56,0.00268916599452,16.7246825973,17.04,14.9333333333,True
accumulation,8,64,57,0.00381950451992,16.7246825973,17.04,15.2,True
accumulation,8,64,58,0.00456066336483,16.7246825973,17.04,15.4666666667,True
accumulation,8,64,59,0.0043301298283,16.7246825973,17.04,15.7333333333,True
accumulation,8,64,60,0.00323996413499,16.7246825973,17.04,16,True
accumulation,8,64,61,0.00200959201902,16.7246825973,17.04,16.2666666667,True
accumulation,8,65,57,0.00266003492288,16.7246825973,17.30625,15.2,True
accumulation,8,65,58,0.00305792875588,16.7246825973,17.30625,15.4666666667,True
accumulation,8,65,59,0.00291173346341,16.7246825973,17.30625,15.7333333333,True
accumulation,8,65,60,0.00229096016847,16.7246825973,17.30625,16,True
accumulation,9,61,57,0.00265063275583,16.970633812,16.24125,15.2,True
accumulation,9,61,58,0.00317619903944,16.970633812,16.24125,15.4666666667,True
accumulation,9,61,59,0.00295625557192,16.970633812,16.24125,15.7333333333,True
accumulation,9,61,60,0.00207895529456,16.970633812,16.24125,16,True
accumulation,9,62,56,0.00277525302954,16.970633812,16.5075,14.9333333333,True
accumulation,9,62,57,0.00406097853556,16.970633812,16.5075,15.2,True
accumulation,9,62,58,0.00491297570989,16.970633812,16.5075,15.4666666667,True
accumulation,9,62,59,0.0046656425111,16.970633812,16.5075,15.7333333333,True
accumulation,9,62,60,0.00342395924963,16.970633812,16.5075,16,True
accumulation,9,62,61,0.00203400640748,16.970633812,16.5075,16.2666666667,True
accumulation,9,63,56,0.00301644997671,16.970633812,16.77375,14.9333333333,True
accumulation,9,63,57,0.00434915814549,16.970633812,16.77375,15.2,True
accumulation,9,63,58,0.00522886309773,16.970633812,16.77375,15.4666666667,True
accumulation,9,63,59,0.00498883565888,16.970633812,16.77375,15.7333333333,True
accumulation,9,63,60,0.00375296128914,16.970633812,16.77375,16,True
accumulation,9,63,61,0.00233284151182,16.970633812,16.77375,16.2666666667,True
